serial_no,word,page_no,level
449,index,56,upper_intermediate
450,industry,3,upper_intermediate
451,infirm,96,upper_intermediate
452,informal,4,upper_intermediate
453,informer,95,upper_intermediate
454,inheritance tax,"13,",upper_intermediate
455,input,14,upper_intermediate
456,insensitive,9,upper_intermediate
457,insist,70,upper_intermediate
458,internal,9,upper_intermediate
459,into the bargain,24,upper_intermediate
460,intolerant,9,upper_intermediate
461,inverted,4,upper_intermediate
462,irregular,4,upper_intermediate
463,irrelevant,9,upper_intermediate
464,issue,25,upper_intermediate
465,itch,48,upper_intermediate
466,jail,55,upper_intermediate
467,jodhpurs,27,upper_intermediate
468,journal,53,upper_intermediate
469,July,15,upper_intermediate
470,junior,35,upper_intermediate
471,junk,13,upper_intermediate
472,junta,16,upper_intermediate
473,justice,11,upper_intermediate
474,karate,16,upper_intermediate
475,kayak,16,upper_intermediate
476,kerosene,93,upper_intermediate
477,ketch,5,upper_intermediate
478,kick off,82,upper_intermediate
479,Kiribati,31,upper_intermediate
480,kirk,94,upper_intermediate
481,kiwi,46,upper_intermediate
482,knit,18,upper_intermediate
483,knock spots off,81,upper_intermediate
484,knot,18,upper_intermediate
485,know-all,78,upper_intermediate
486,labour force,13,upper_intermediate
487,lack of,60,upper_intermediate
488,ladies and gentlemen,77,upper_intermediate
489,lasso,16,upper_intermediate
490,last-minute,12,upper_intermediate
491,lay-out,14,upper_intermediate
492,lazy-bones,78,upper_intermediate
493,leak,37,upper_intermediate
494,lean and lurch,95,upper_intermediate
495,lechery,11,upper_intermediate
496,lecture,39,upper_intermediate
497,left-handed,12,upper_intermediate
498,left-wing,67,upper_intermediate
499,length,"11,",upper_intermediate
500,leotard,15,upper_intermediate
501,let-out,14,upper_intermediate
502,lifespan,1,upper_intermediate
503,lime,71,upper_intermediate
504,lodgings,27,upper_intermediate
505,loft,36,upper_intermediate
506,long-jump,41,upper_intermediate
507,long-standing,12,upper_intermediate
508,long-winded,82,upper_intermediate
509,longevity,1,upper_intermediate
510,look-out,14,upper_intermediate
511,loot,95,upper_intermediate
512,low-necked,12,upper_intermediate
513,loyal,"9,",upper_intermediate
514,lump,48,upper_intermediate
515,luxury goods,13,upper_intermediate
516,magnificent,45,upper_intermediate
517,magnolia,15,upper_intermediate
518,mail order,13,upper_intermediate
519,make or break,77,upper_intermediate
520,mammoth,16,upper_intermediate
521,marginal seat,54,upper_intermediate
522,market,45,upper_intermediate
523,mass-produced,12,upper_intermediate
524,match,89,upper_intermediate
525,maternity leave,40,upper_intermediate
526,meagre,57,upper_intermediate
527,mean,34,upper_intermediate
528,media,53,upper_intermediate
529,with melt,32,upper_intermediate
530,microbot,99,upper_intermediate
531,mid-,33,upper_intermediate
532,midge,29,upper_intermediate
533,miles better,81,upper_intermediate
534,minute,57,upper_intermediate
535,miscreant,94,upper_intermediate
536,miserly,70,upper_intermediate
537,misfire,65,upper_intermediate
538,misinform,9,upper_intermediate
539,misspell,9,upper_intermediate
540,mist,32,upper_intermediate
541,misty,32,upper_intermediate
542,moderate,67,upper_intermediate
543,modernise,8,upper_intermediate
544,monarchy,54,upper_intermediate
545,moral,67,upper_intermediate
546,more-ish,43,upper_intermediate
547,mortgage,56,upper_intermediate
548,mother,31,upper_intermediate
549,mount,45,upper_intermediate
550,moustache,33,upper_intermediate
551,mug,66,upper_intermediate
552,multi-,9,upper_intermediate
553,multilingual,31,upper_intermediate
554,mumps,48,upper_intermediate
555,murmur,70,upper_intermediate
556,mutter,70,upper_intermediate
557,mystery,25,upper_intermediate
558,mythical,46,upper_intermediate
559,nationhood,11,upper_intermediate
560,never-ending,12,upper_intermediate
561,nevertheless,23,upper_intermediate
562,new-born,73,upper_intermediate
563,Nikkei,56,upper_intermediate
564,nine-to-five,40,upper_intermediate
565,matter,21,upper_intermediate
566,not much to look at,90,upper_intermediate
567,novel,42,upper_intermediate
568,nuclear engineering,52,upper_intermediate
569,number look after,90,upper_intermediate
570,numerate,51,upper_intermediate
571,nutshell,88,upper_intermediate
572,obese,33,upper_intermediate
573,object,70,upper_intermediate
574,obligatory,60,upper_intermediate
575,obliged,60,upper_intermediate
576,obsessive,67,upper_intermediate
577,octagon,51,upper_intermediate
578,ointment,66,upper_intermediate
579,old-fashioned,47,upper_intermediate
580,and off,77,upper_intermediate
581,on condition that,21,upper_intermediate
582,that occasion,20,upper_intermediate
583,one at a time,58,upper_intermediate
584,one,84,upper_intermediate
585,one-off,12,upper_intermediate
586,only have eyes for,78,upper_intermediate
587,open-minded,67,upper_intermediate
588,oppress,10,upper_intermediate
589,optimist,69,upper_intermediate
590,or rather,100,upper_intermediate
591,ordeal,92,upper_intermediate
592,organism,52,upper_intermediate
593,origami,16,upper_intermediate
594,original,34,upper_intermediate
595,oust,92,upper_intermediate
596,out of sorts,74,upper_intermediate
597,out of this world,81,upper_intermediate
598,outcome,22,upper_intermediate
599,outlay,14,upper_intermediate
600,outlet,14,upper_intermediate
601,outlook,14,upper_intermediate
602,outrageous,8,upper_intermediate
603,outwith,94,upper_intermediate
604,overcooked,43,upper_intermediate
605,overdo,"9,",upper_intermediate
606,overlook,45,upper_intermediate
607,overpopulation,44,upper_intermediate
608,overpriced,2,upper_intermediate
609,overtired,9,upper_intermediate
610,overwhelming,57,upper_intermediate
611,overworked,9,upper_intermediate
612,owing to,22,upper_intermediate
613,package holiday,"2,",upper_intermediate
614,pal,7,upper_intermediate
615,paralytic,95,upper_intermediate
616,passive,8,upper_intermediate
617,pastime,86,upper_intermediate
618,patent,52,upper_intermediate
619,peace quiet,77,upper_intermediate
620,peak,44,upper_intermediate
621,peal,19,upper_intermediate
622,peculiar,34,upper_intermediate
623,pedigree,73,upper_intermediate
624,peer,71,upper_intermediate
625,pen-name,13,upper_intermediate
626,penalty,96,upper_intermediate
627,pension,56,upper_intermediate
628,pentagon,51,upper_intermediate
629,perfectionist,67,upper_intermediate
630,performer,42,upper_intermediate
631,performing arts,42,upper_intermediate
632,permit holder,96,upper_intermediate
633,perspective,10,upper_intermediate
634,pessimistic,34,upper_intermediate
635,phoenix,46,upper_intermediate
636,pick and choose,77,upper_intermediate
637,pick holes in,81,upper_intermediate
638,picturesque,45,upper_intermediate
639,pie in the sky,74,upper_intermediate
640,pig in a,83,upper_intermediate
641,pin-striped,47,upper_intermediate
642,pineapple,71,upper_intermediate
643,piste,41,upper_intermediate
644,plain,47,upper_intermediate
645,planting,44,upper_intermediate
646,plaster,48,upper_intermediate
647,platonic,15,upper_intermediate
648,pledge,92,upper_intermediate
649,ploy,92,upper_intermediate
650,point of view,67,upper_intermediate
651,poles apart,23,upper_intermediate
652,policy,54,upper_intermediate
653,pollution,"8,",upper_intermediate
654,pool,41,upper_intermediate
655,poplar,46,upper_intermediate
656,population,44,upper_intermediate
657,pork chop,43,upper_intermediate
658,post-,9,upper_intermediate
659,postwar,9,upper_intermediate
660,pouring with rain,80,upper_intermediate
661,pre-schooler,99,upper_intermediate
662,pregnant,48,upper_intermediate
663,prerequisite,21,upper_intermediate
664,press agency,45,upper_intermediate
665,press-up,14,upper_intermediate
666,priesthood,8,upper_intermediate
667,prim and,77,upper_intermediate
668,Prime Minister,54,upper_intermediate
669,prime number,51,upper_intermediate
670,print,53,upper_intermediate
671,pro-government,9,upper_intermediate
672,pro-,9,upper_intermediate
673,probation,55,upper_intermediate
674,proceeds,27,upper_intermediate
675,prohibited,96,upper_intermediate
676,projector,40,upper_intermediate
677,prompt,22,upper_intermediate
678,proof,55,upper_intermediate
679,proprietor,62,upper_intermediate
680,prosecute,96,upper_intermediate
681,prosperity,11,upper_intermediate
682,prudence,11,upper_intermediate
683,pseudo-,9,upper_intermediate
684,psychic,18,upper_intermediate
685,pull a fast one,74,upper_intermediate
686,pull it off,65,upper_intermediate
687,purify,8,upper_intermediate
688,quick-tempered,34,upper_intermediate
689,quick-witted,12,upper_intermediate
690,quiet,71,upper_intermediate
691,quit,92,upper_intermediate
692,quite the opposite,23,upper_intermediate
693,rack and ruin,77,upper_intermediate
694,racket,61,upper_intermediate
695,rage,68,upper_intermediate
696,rake,36,upper_intermediate
697,range,29,upper_intermediate
698,rant and rave,77,upper_intermediate
699,of exchange,56,upper_intermediate
700,rattle,61,upper_intermediate
701,reviews,42,upper_intermediate
702,re-introduce,86,upper_intermediate
703,readable,8,upper_intermediate
704,receipt,56,upper_intermediate
705,receptacle,66,upper_intermediate
706,record-breaking,12,upper_intermediate
707,redefine,9,upper_intermediate
708,reed,19,upper_intermediate
709,refugee,38,upper_intermediate
710,refusal,40,upper_intermediate
711,regal,1,upper_intermediate
712,register,4,upper_intermediate
713,regret,7,upper_intermediate
714,reimburse,7,upper_intermediate
715,reinforce,18,upper_intermediate
716,relationship,11,upper_intermediate
717,release,55,upper_intermediate
718,reliability,26,upper_intermediate
719,religious,67,upper_intermediate
720,reluctantly,70,upper_intermediate
721,control,53,upper_intermediate
722,rent,62,upper_intermediate
723,rep,98,upper_intermediate
724,repellent,69,upper_intermediate
725,replace,11,upper_intermediate
726,reprint,18,upper_intermediate
727,republic,54,upper_intermediate
728,research,26,upper_intermediate
729,rest and recreation,77,upper_intermediate
730,restaurant-car,49,upper_intermediate
731,retract,86,upper_intermediate
732,reveal,86,upper_intermediate
733,reverse,23,upper_intermediate
734,revert,10,upper_intermediate
735,revolt,69,upper_intermediate
736,rewind,9,upper_intermediate
737,reword,4,upper_intermediate
738,ridge,44,upper_intermediate
739,riding,41,upper_intermediate
740,right-wing,67,upper_intermediate
741,rip somebody off,83,upper_intermediate
742,rise and shine,83,upper_intermediate
743,rite,19,upper_intermediate
744,robot,52,upper_intermediate
745,rod,41,upper_intermediate
746,rosy-cheeked,12,upper_intermediate
747,rotten,71,upper_intermediate
